Emrakul,Halimar Depth,Serum Powder,Shelldock Isle,Shadwborn Apostle,Max Mulliagan,Exile Emrakul,Exile Shelldock Isle,Lose,Turn 4,Turn 5,Turn 4 + Turn 5 - Lose,Turn 6,Turn 7,Turn 8,Turn 9
3,3,1,4,45,3,0,1,20.69,9.96999,19.47,8.74999,18.15,15.21,10.74,5.76
3,4,0,4,45,3,1,2,20.61,9.74,19.6,8.73,18.61,15.61,10.41,5.42
3,4,1,4,44,3,1,3,21.0299,10.23,19.52,8.7201,18.2,15.15,10.35,5.52
4,3,3,4,42,2,2,2,21.89,10.86,19.75,8.72,18.15,13.88,9.28,6.18999
3,3,2,4,44,3,1,3,20.93,10.17,19.48,8.72,17.8499,14.7999,10.59,6.17
4,4,0,4,44,3,2,1,20.03,9.85,18.9,8.72,18.23,15.72,11,6.27
3,4,0,4,45,3,2,0,20.6699,9.87999,19.5,8.71009,18.7099,15.43,10.37,5.45
4,4,0,4,44,3,0,2,20.11,9.94,18.88,8.71,18.34,15.55,11,6.18
4,3,0,4,45,3,3,1,19.75,9.46,19,8.71,18.15,15.72,11.43,6.5
3,4,0,4,45,3,1,1,20.74,9.83,19.6,8.69,18.5299,15.52,10.38,5.4
4,4,2,4,42,2,3,2,22.02,10.92,19.78,8.68,19.05,14.24,8.66,5.33
4,4,2,4,42,3,2,1,20.89,10.34,19.23,8.68,17.43,14.8799,10.89,6.35
3,4,1,4,44,3,0,3,20.96,10.18,19.46,8.68,18.3,15.17,10.35,5.58
4,4,0,4,44,3,0,1,20.05,9.71999,19.0099,8.67989,18.4,15.5,11.15,6.16
3,3,2,4,44,3,1,2,21.02,10.14,19.55,8.67,17.5499,14.95,10.68,6.12
4,4,0,4,44,3,2,2,20.09,9.9,18.86,8.67,18.2,15.7,11.1299,6.12
4,3,1,4,44,3,2,0,20.05,9.77,18.93,8.65,17.87,15.31,11.33,6.74
4,2,2,4,44,3,3,3,19.68,9.49,18.83,8.64,17.13,15.27,12.04,7.56
3,2,4,4,43,3,2,3,21.51,10.7,19.45,8.64,16.65,14.1499,10.72,6.81999
3,3,1,4,45,3,0,0,20.63,9.87,19.4,8.64,18.15,15.42,10.7,5.83
4,3,0,4,45,3,1,2,19.73,9.49,18.87,8.63,18.04,15.69,11.57,6.6
4,3,0,4,45,3,0,1,19.7599,9.45,18.93,8.6201,18.07,15.75,11.5,6.55
4,2,3,4,43,3,2,3,20.15,9.74,19.03,8.62,16.84,14.75,11.72,7.77
4,3,2,4,43,3,2,0,20.49,10.02,19.09,8.62,17.27,15,11.27,6.85
4,3,2,4,43,3,3,1,20.4,10.01,19.0099,8.6199,17.49,15,11.34,6.75
4,3,0,4,45,3,2,1,19.81,9.45,18.97,8.61,17.91,15.77,11.53,6.56
4,3,0,4,45,3,2,3,19.79,9.41,18.97,8.59,18.09,15.6299,11.54,6.56999
3,3,2,4,44,2,2,3,22.28,10.65,20.22,8.59,19.11,14.32,8.55999,4.85999
4,3,0,4,45,3,0,3,19.8,9.51,18.87,8.58,17.95,15.85,11.51,6.51
4,2,2,4,44,3,3,2,19.59,9.37,18.8,8.58,17.22,15.3799,12.02,7.61
4,3,2,4,43,2,2,2,21.64,10.39,19.82,8.57,18.7,14.35,9.1,6
4,3,0,4,45,3,1,3,19.81,9.39,18.98,8.56,18.04,15.69,11.53,6.56
4,4,2,4,42,3,0,3,20.87,10.45,18.98,8.56,17.51,14.95,10.74,6.47999
4,3,1,4,44,3,0,3,20.19,9.83,18.92,8.56,17.68,15.2299,11.34,6.8
4,4,2,4,42,3,2,0,20.91,10.26,19.2,8.55,17.43,15.04,10.73,6.43999
4,3,1,4,44,3,1,3,20.19,9.79,18.93,8.53,17.65,15.2,11.37,6.87
4,4,1,4,43,3,0,2,20.5,10,19.02,8.52,17.99,15.28,10.9,6.31
4,2,4,4,42,3,2,3,20.83,10.43,18.91,8.51,16.22,14.31,11.42,7.88
4,3,0,4,45,3,2,2,19.91,9.47,18.95,8.51,18.07,15.55,11.58,6.47999
4,3,0,4,45,3,3,2,19.9399,9.52,18.91,8.4901,18.01,15.7099,11.45,6.46
4,3,0,4,45,3,3,0,19.8699,9.42,18.94,8.4901,18,15.58,11.52,6.66
3,4,0,4,45,3,0,1,20.77,9.89,19.37,8.49,18.58,15.55,10.35,5.5
4,3,0,4,45,3,2,0,19.89,9.45,18.93,8.49,17.8499,15.76,11.57,6.54
